ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB014,Forest,Agriculture,Active,10,Total,PLFA content,19.4,23.2,4.8,7.4,4,4
SB015,Forest,Pasture,Active,15,Total,PLFA content,28.95,23.85,6.718,7.984,6,6
SB110,Forest,Deforestation,Active,59,Total,PLFA content,17,25,1.7,2.5,5,6
SB110,Forest,Deforestation,Active,59,Total,PLFA content,18,25,1.8,2.5,5,6
SB014,Forest,Agriculture,Active,14,Total,PLFA content,18.7,26.9,4.8,6,4,4
SB111,Grassland,Mining,Active,15,Total,PLFA content,4.79,62.5,1.423024947,40.76175904,10,10
SB111,Grassland,Mining,Active,15,Total,PLFA content,8.61,62.5,0.411096096,40.76175904,10,10
SB016,Forest,Pasture,Active,31,Total,PLFA content,22.9,73.9,8.8,20.2,4,4
SB004,Forest,Deforestation,Active,2,Total,PLFA content,134.14,156.09,40.13,48.58,3,3
SB004,Forest,Deforestation,Active,4,Total,PLFA content,91.46,156.09,14.78,48.58,3,3
SB004,Forest,Deforestation,Active,5,Total,PLFA content,86.58,156.09,10.56,48.58,3,3
SB137,Forest,Agriculture,Active,17.5,Total,PLFA content,166.753,215.584,37.78988452,33.246,3,4
SB113,Forest,Agriculture,Passive,15,Total,PLFA content,542.7888,318.3887,165.07597,15.47587,4,4
SB113,Forest,Agriculture,Passive,30,Total,PLFA content,576.3199,318.3887,61.90349,15.47587,4,4
SB113,Forest,Agriculture,Passive,50,Total,PLFA content,751.7131,318.3887,82.53799,15.47587,4,4
SB113,Forest,Agriculture,Passive,110,Total,PLFA content,1040.5961,318.3887,159.91735,15.47587,4,4
