ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB101,Grassland,Agriculture,Active,24,Total,Shannon index,4.52,4.87,2.52,2.181971586,9,10
SB101,Grassland,Agriculture,Passive,24,Total,Shannon index,6.02,4.87,2.73,2.181971586,9,10
SB029,Forest,Agriculture,Active,5,Total,Shannon index,4.12,4.89,0.034641016,0.3,3,4
SB029,Forest,Agriculture,Active,15,Total,Shannon index,3.99,4.89,0.433012702,0.3,3,4
SB029,Forest,Agriculture,Active,25,Total,Shannon index,4.73,4.89,0.259807621,0.3,3,4
SB029,Forest,Agriculture,Active,35,Total,Shannon index,4.28,4.89,0.848704896,0.3,3,4
SB102,Forest,Monoculture plantation,Passive,30,Total,Shannon index,3.169,4.915,0.410496041,0.914,3,4
SB102,Forest,Monoculture plantation,Passive,40,Total,Shannon index,4.813,4.915,0.498830633,0.914,3,4
SB102,Forest,Monoculture plantation,Passive,55,Total,Shannon index,3.712,4.915,0.528275496,0.914,3,4
SB170,Grassland,Pasture,Passive,5,Total,Shannon index,5.33,5.04,0.3,0.22,4,4
SB170,Grassland,Pasture,Passive,15,Total,Shannon index,4.96,5.04,0.2,0.22,4,4
SB170,Grassland,Pasture,Passive,28,Total,Shannon index,5.25,5.04,0.26,0.22,4,4
SB170,Grassland,Pasture,Passive,36,Total,Shannon index,5.13,5.04,0.28,0.22,4,4
SB154,Forest,Agriculture,Active,24,Total,Shannon index,4.869,5.048,0.251147367,0.312,3,4
SB154,Forest,Agriculture,Active,24,Total,Shannon index,1.958,5.048,0.696284425,0.312,3,4
SB154,Forest,Agriculture,Active,24,Total,Shannon index,4.018,5.048,0.871221556,0.312,3,4
SB154,Forest,Agriculture,Active,24,Total,Shannon index,3.75,5.048,0.736121593,0.312,3,4
SB154,Forest,Agriculture,Active,24,Total,Shannon index,4.399,5.048,0.310037095,0.312,3,4
SB154,Forest,Agriculture,Active,24,Total,Shannon index,2.664,5.048,0.620074189,0.312,3,4
SB150,Grassland,Pasture,Active,5,Total,Shannon index,5.33,5.09,0.190525589,0.34,3,4
SB150,Grassland,Pasture,Active,14,Total,Shannon index,4.85,5.09,0.190525589,0.34,3,4
SB150,Grassland,Pasture,Active,16,Total,Shannon index,4.75,5.09,0.242487113,0.34,3,4
SB150,Grassland,Pasture,Active,19,Total,Shannon index,4.41,5.09,0.08660254,0.34,3,4
SB125,Forest,Monoculture plantation,Active,3,Total,Shannon index,3.945,5.091,0.132,0.073790243,4,5
SB125,Forest,Monoculture plantation,Active,3,Total,Shannon index,3.232,5.091,0.524,0.073790243,4,5
SB095,Forest,Monoculture plantation,Active,12,Total,Shannon index,5.88,5.19,0.588,0.519,3,4
SB137,Forest,Agriculture,Active,17.5,Total,Shannon index,4.83,5.3,0.866025404,0.58,3,4
SB180,Grassland,Pasture,Active,4,Total,Shannon index,5.810502,5.445205,0,0.632,3,3
SB114,Forest,Deforestation,Passive,30,Total,Shannon index,4.17,5.45,1.229756073,1.056550993,3,3
SB114,Forest,Deforestation,Passive,30,Total,Shannon index,5.08,5.45,0.051961524,1.056550993,3,3
SB114,Forest,Deforestation,Passive,30,Total,Shannon index,6.14,5.45,0.259807621,1.056550993,3,3
SB071,Forest,Agriculture,Passive,5,Total,Shannon index,5.07,5.51,0.507,0.551,5,5
SB071,Forest,Agriculture,Passive,17.5,Total,Shannon index,5.08,5.51,0.508,0.551,5,5
SB071,Forest,Agriculture,Passive,35,Total,Shannon index,5.16,5.51,0.516,0.551,5,5
SB035,Forest,Agriculture,Passive,10,Total,Shannon index,4.134,5.529,1.857,1.0125,15,15
SB035,Forest,Agriculture,Passive,20,Total,Shannon index,5.051,5.529,1.533,1.0125,15,15
SB035,Forest,Agriculture,Passive,30,Total,Shannon index,4.737,5.529,1.854,1.0125,15,15
SB024,Forest,Agriculture,Passive,17,Total,Shannon index,6.98,5.56,0.13,0.52,3,3
SB024,Forest,Agriculture,Active,17,Total,Shannon index,6.21,5.56,0.17,0.52,3,3
SB024,Grassland,Agriculture,Passive,78,Total,Shannon index,6.53,5.56,0.23,0.52,3,3
SB160,Grassland,Agriculture,Passive,2,Total,Shannon index,5.7,5.6,0.29,0.5,3,3
SB160,Grassland,Agriculture,Passive,8,Total,Shannon index,5.1,5.6,0.25,0.5,3,3
SB131,Grassland,Pasture,Passive,9,Total,Shannon index,5.572,5.644,1.524204711,1.51,3,4
SB100,Forest,Agriculture,Active,1.5,Total,Shannon index,5.625,5.731,0.791568064,0.75934182,5,6
SB100,Forest,Agriculture,Active,15,Total,Shannon index,5.031,5.731,0.257147817,0.75934182,5,6
SB100,Forest,Agriculture,Active,1.5,Total,Shannon index,5.909,5.731,0.713305685,0.75934182,5,6
SB100,Forest,Agriculture,Active,15,Total,Shannon index,5.477,5.731,0.257147817,0.75934182,5,6
SB131,Grassland,Pasture,Passive,9,Total,Shannon index,6.417,5.734,0.684160069,0.358,3,4
SB173,Forest,Pasture,Passive,23,Total,Shannon index,6.594828,5.779178,0.5983541,0.3305733,4,4
SB173,Forest,Pasture,Passive,47,Total,Shannon index,5.188329,5.779178,1.0405656,0.3305733,4,4
SB173,Forest,Pasture,Passive,68,Total,Shannon index,4.935676,5.779178,0.7391937,0.3305733,4,4
SB049,Forest,Mining,Active,6,Total,Shannon index,6.57,5.93,0.657,0.593,4,5
SB049,Forest,Mining,Active,6,Total,Shannon index,4.26,5.93,0.426,0.593,4,5
SB049,Forest,Mining,Active,6,Total,Shannon index,5.93,5.93,0.593,0.593,4,5
SB130,Forest,Monoculture plantation,Active,7,Total,Shannon index,5.978,6.007,1.267861191,1.112,3,4
SB130,Forest,Monoculture plantation,Active,13,Total,Shannon index,6.857,6.007,0.303108891,1.112,3,4
SB130,Forest,Monoculture plantation,Active,23,Total,Shannon index,7.179,6.007,0.55772036,1.112,3,4
SB131,Grassland,Pasture,Passive,9,Total,Shannon index,5.968,6.14,0.715336984,0.286,3,4
SB079,Grassland,Pasture,Passive,5,Total,Shannon index,6.48,6.22,0.467653718,0.68,3,4
SB079,Grassland,Pasture,Passive,10,Total,Shannon index,7.17,6.22,0.658179307,0.68,3,4
SB079,Grassland,Pasture,Passive,15,Total,Shannon index,7.18,6.22,0.53693575,0.68,3,4
SB079,Grassland,Pasture,Passive,25,Total,Shannon index,7.36,6.22,0.779422863,0.68,3,4
SB079,Grassland,Pasture,Passive,30,Total,Shannon index,7.87,6.22,0.90066642,0.68,3,4
SB093,Forest,Mining,Active,10,Total,Shannon index,5.48,6.364,0.548,0.6364,7,8
SB093,Forest,Mining,Active,10,Total,Shannon index,6.689,6.364,0.6689,0.6364,7,8
SB093,Forest,Mining,Active,10,Total,Shannon index,6.425,6.364,0.6425,0.6364,7,8
SB093,Forest,Mining,Active,10,Total,Shannon index,4.136,6.364,0.4136,0.6364,7,8
SB093,Forest,Mining,Active,10,Total,Shannon index,6.852,6.364,0.6852,0.6364,7,8
SB151,Grassland,Pasture,Passive,20,Total,Shannon index,6.688,6.422,0.251147367,0.37,3,4
SB162,Grassland,Agriculture,Passive,5,Total,Shannon index,6.919505,6.52322,0.06434864,0.30029364,3,3
SB162,Grassland,Agriculture,Passive,15,Total,Shannon index,6.535604,6.52322,0.21449546,0.30029364,3,3
SB162,Grassland,Agriculture,Passive,20,Total,Shannon index,6.102167,6.52322,0.10724773,0.30029364,3,3
SB162,Grassland,Agriculture,Passive,40,Total,Shannon index,5.28483,6.52322,0.06434864,0.30029364,3,3
SB069,Forest,Agriculture,Active,17,Total,Shannon index,5.711,6.567,0.071533698,0.412,3,4
SB069,Forest,Agriculture,Active,28,Total,Shannon index,6.628,6.567,0.195721741,0.412,3,4
SB069,Forest,Agriculture,Active,34,Total,Shannon index,6.525,6.567,0.445137058,0.412,3,4
SB069,Forest,Agriculture,Active,45,Total,Shannon index,6.381,6.567,0.374122974,0.412,3,4
SB082,Forest,Deforestation,Active,10,Total,Shannon index,5.537,6.621,0.23255107,0.355176013,5,6
SB082,Forest,Deforestation,Active,16,Total,Shannon index,5.274,6.621,0.538892383,0.355176013,5,6
SB082,Forest,Deforestation,Active,22,Total,Shannon index,5.264,6.621,0.234787138,0.355176013,5,6
SB082,Forest,Deforestation,Active,47,Total,Shannon index,5.463,6.621,0.21019039,0.355176013,5,6
SB077,Forest,Monoculture plantation,Active,11,Total,Shannon index,5.711,6.733,1.193383006,1.212,3,4
SB077,Forest,Monoculture plantation,Active,11,Total,Shannon index,4.108,6.733,1.756299519,1.212,3,4
SB034,Forest,Agriculture,Passive,9,Total,Shannon index,7.47,6.96,1.02,0.79,8,7
SB034,Forest,Agriculture,Passive,16.2,Total,Shannon index,7.87,6.96,0.75,0.79,5,7
SB034,Forest,Agriculture,Passive,52.4,Total,Shannon index,6.5,6.96,1.05,0.79,9,7
SB186,Grassland,Pasture,Passive,20,Total,Shannon index,7.43,7.14,0.743,0.714,4,5
SB186,Grassland,Pasture,Passive,40,Total,Shannon index,6.63,7.14,0.663,0.714,4,5
SB122,Forest,Mining,Active,5,Total,Shannon index,7.457,7.563,1.523952755,3.80706291,7,8
SB122,Forest,Mining,Active,5,Total,Shannon index,7.029,7.563,1.637720062,3.80706291,7,8
SB122,Forest,Mining,Active,5,Total,Shannon index,6.687,7.563,3.050551262,3.80706291,7,8
SB122,Forest,Mining,Active,5,Total,Shannon index,7.478,7.563,4.069165516,3.80706291,7,8
SB153,Grassland,Pasture,Passive,22,Total,Shannon index,7.21,7.84,1.021909976,0.76,3,4
SB118,Grassland,Agriculture,Active,2.5,Total,Shannon index,8.07,8.019,0.478518547,0.695655087,5,6
SB118,Grassland,Agriculture,Active,11,Total,Shannon index,8.081,8.019,0.456157867,0.695655087,5,6
SB118,Grassland,Agriculture,Active,16,Total,Shannon index,8.138,8.019,0.444977528,0.695655087,5,6
