ID,Ordination_type,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB132,NMDS,57,Forest,Erosion,Active,0.4392402,0.2563579,0.1307789,0.1231304,3,3
SB132,NMDS,57,Forest,Erosion,Active,0.9305667,0.2563579,0.4041874,0.1231304,3,3
SB052,PCoA,30,Grassland,Others,Passive,0.0728431,0.2612844,0.03574063,0.24017267,4,4
SB052,PCoA,12,Grassland,Others,Passive,0.0932983,0.2612844,0.06094258,0.24017267,4,4
SB049,NMDS,6,Forest,Mining,Active,0.2436038,0.2634796,0.17475002,0.07331855,4,4
SB049,NMDS,6,Forest,Mining,Active,0.256253,0.2634796,0.0923076,0.07331855,4,4
SB049,NMDS,6,Forest,Mining,Active,0.4086275,0.2634796,0.11493883,0.07331855,4,4
SB101,NMDS,24,Grassland,Agriculture,Active,0.2624764,0.2701092,0.12166155,0.10790162,5,5
SB101,NMDS,24,Grassland,Agriculture,Passive,0.277361,0.2701092,0.12479218,0.10790162,5,5
SB101,NMDS,24,Grassland,Agriculture,Passive,0.2820589,0.2701092,0.09100096,0.10790162,5,5
SB101,NMDS,24,Grassland,Agriculture,Active,0.3080164,0.2701092,0.11007075,0.10790162,5,5
SB101,NMDS,24,Grassland,Agriculture,Active,0.3769297,0.2701092,0.15997292,0.10790162,5,5
SB044,NMDS,31,Forest,Agriculture,Passive,0.3792066,0.2713574,0.1733186,0.126768,9,9
SB071,DCA,5,Forest,Agriculture,Passive,0.3173994,0.2793046,0.1244005,0.1388815,5,5
SB071,DCA,35,Forest,Agriculture,Passive,0.613626,0.2793046,0.3355365,0.1388815,5,5
SB071,DCA,17,Forest,Agriculture,Passive,0.8773351,0.2793046,0.569839,0.1388815,5,5
SB092,NMDS,15,Forest,Agriculture,Active,0.5585743,0.2950602,0.278433,0.1513954,9,9
SB092,NMDS,15,Forest,Agriculture,Passive,0.8612576,0.2950602,0.4048262,0.1513954,9,9
SB184,NMDS,5,Grassland,Pasture,Active,0.5791828,0.2987535,0.4124201,0.1267875,9,8
SB184,NMDS,10,Grassland,Pasture,Active,0.6312832,0.2987535,0.4234755,0.1267875,6,8
SB136,NMDS,21,Forest,Agriculture,Passive,0.2504616,0.3028195,0.09800791,0.15392284,3,3
SB136,NMDS,7,Forest,Agriculture,Active,0.3393316,0.3028195,0.20010893,0.15392284,3,3
SB130,NMDS,23,Forest,Monoculture plantation,Active,0.1757091,0.3057615,0.07499973,0.14359179,3,3
SB130,NMDS,13,Forest,Monoculture plantation,Active,0.3121949,0.3057615,0.13349825,0.14359179,3,3
SB130,NMDS,7,Forest,Monoculture plantation,Active,0.5204004,0.3057615,0.2293303,0.14359179,3,3
SB096,PCA,2.5,Forest,Erosion,Active,0.2685537,0.3084486,0.08387498,0.17221062,3,3
SB093,NMDS,10,Forest,Mining,Active,0.2450633,0.3290325,0.1494341,0.2079511,7,7
SB093,NMDS,10,Forest,Mining,Active,0.2515824,0.3290325,0.1399883,0.2079511,7,7
SB093,NMDS,10,Forest,Mining,Active,0.255314,0.3290325,0.1333097,0.2079511,7,7
SB093,NMDS,10,Forest,Mining,Active,0.3070416,0.3290325,0.1611021,0.2079511,7,7
SB093,NMDS,10,Forest,Mining,Active,0.3160214,0.3290325,0.1691998,0.2079511,7,7
SB097,NMDS,6,Forest,Pasture,Active,0.3939371,0.3316547,0.1976931,0.2653187,6,6
SB159,NMDS,18,Forest,Agriculture,Active,0.3170879,0.3805018,0.1903568,0.3251711,12,12
SB148,NMDS,22,Grassland,Pasture,Passive,0.245389,0.3831005,0.10181988,0.15719289,5,5
SB148,NMDS,39,Grassland,Pasture,Passive,0.2925557,0.3831005,0.09414656,0.15719289,5,5
SB148,NMDS,5,Grassland,Pasture,Passive,0.3743323,0.3831005,0.20390727,0.15719289,4,5
SB148,NMDS,13,Grassland,Pasture,Passive,0.520466,0.3831005,0.31293099,0.15719289,5,5
SB074,PCA,12,Forest,Monoculture plantation,Active,0.3087789,0.3869823,0.1191452,0.231836,4,4
SB064,NMDS,12,Forest,Mining,Active,0.2028661,0.3900844,0.08065524,0.15270937,4,4
SB163,PCoA,11,Forest,Monoculture plantation,Active,0.200813,0.4011929,0.2027942,0.2018981,9,9
SB118,RDA,2.5,Grassland,Agriculture,Active,0.2177068,0.4087076,0.1158595,0.2025246,15,15
SB118,RDA,11,Grassland,Agriculture,Active,0.3015038,0.4087076,0.2926361,0.2025246,15,15
SB118,RDA,16,Grassland,Agriculture,Active,0.3370622,0.4087076,0.1513069,0.2025246,15,15
SB179,MDS,7,Forest,Pasture,Active,0.1482442,0.4412481,0.05231215,0.17584341,3,3
SB179,MDS,7,Forest,Pasture,Active,0.2099501,0.4412481,0.0958446,0.17584341,3,3
SB179,MDS,7,Forest,Pasture,Active,0.2247026,0.4412481,0.16531095,0.17584341,3,3
SB179,MDS,7,Grassland,Pasture,Active,0.2387743,0.4412481,0.07182527,0.17584341,3,3
SB057,NMDS,44,Forest,Agriculture,Passive,0.6818383,0.48474,0.1903201,0.2633523,3,3
SB057,NMDS,29,Forest,Agriculture,Passive,0.7727402,0.48474,0.4261644,0.2633523,3,3
SB057,NMDS,13,Forest,Agriculture,Passive,1.0064478,0.48474,0.3076756,0.2633523,3,3
SB099,NMDS,2,Forest,Mining,Active,0.112755,0.4996415,0.04263098,0.27747516,4,3
SB099,NMDS,2,Forest,Mining,Active,0.2192918,0.4996415,0.09986144,0.27747516,3,3
SB099,NMDS,2,Forest,Mining,Active,0.3239015,0.4996415,0.1704695,0.27747516,4,3
SB153,PCA,22,Grassland,Pasture,Passive,0.8713093,0.5093076,0.7441511,0.2863913,4,4
SB067,CCA,23,Forest,Erosion,Active,0.1538382,0.5176667,0.0973789,0.32762078,3,3
SB067,CCA,29,Forest,Erosion,Active,0.2419718,0.5176667,0.06458894,0.32762078,3,3
SB067,CCA,40,Forest,Erosion,Active,0.3318939,0.5176667,0.16110726,0.32762078,3,3
SB063,NMDS,8,Grassland,Pasture,Passive,0.3105222,0.5371361,0.3105222,0.3030841,9,9
SB089,NMDS,29,Forest,Agriculture,Active,0.7272393,0.5652719,0.326954,0.3097756,9,7
SB178,NMDS,20,Forest,Agriculture,Passive,0.2690327,0.7136446,0.08012545,0.33912765,4,8
SB178,NMDS,40,Forest,Agriculture,Passive,0.3496533,0.7136446,0.14124328,0.33912765,4,8
SB178,NMDS,60,Forest,Agriculture,Passive,1.0440621,0.7136446,0.58059214,0.33912765,4,8
SB174,NMDS,35,Forest,Deforestation,Active,1.4179802,0.7839443,0.7917721,0.4348369,4,4
SB174,NMDS,50,Forest,Deforestation,Active,1.8689145,0.7839443,1.0522024,0.4348369,4,4
SB058,PCA,5,Grassland,Mining,Active,1.3086153,0.9861095,0.6978585,0.2353239,3,3
SB058,PCA,5,Grassland,Mining,Active,4.2365232,0.9861095,2.465053,0.2353239,3,3
SB058,PCA,5,Grassland,Mining,Active,4.6561433,0.9861095,1.9705075,0.2353239,3,3
SB058,PCA,5,Grassland,Mining,Active,8.1683289,0.9861095,5.402206,0.2353239,3,3
SB058,PCA,5,Grassland,Mining,Active,22.0558387,0.9861095,16.2634455,0.2353239,3,3
SB058,PCA,5,Grassland,Mining,Active,26.490875,0.9861095,17.8558952,0.2353239,3,3
SB075,PCoA,9,Grassland,Pasture,Passive,0.6424914,1.1225755,0.5616954,0.7293658,5,5
SB075,PCoA,9,Grassland,Pasture,Active,1.1012005,1.1225755,0.6418859,0.7293658,5,5
SB056,PCA,43,Forest,Deforestation,Active,2.32061,2.289214,1.148511,1.392414,5,5
SB123,PCA,40,Forest,Monoculture plantation,Active,2.286616,3.217235,1.153788,1.826177,9,9
SB123,PCA,20,Forest,Monoculture plantation,Active,2.553145,3.217235,1.480189,1.826177,9,9
SB123,PCA,40,Forest,Monoculture plantation,Active,2.657193,3.217235,1.282336,1.826177,9,9
