ID,Ordination_type,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Degraded_Mean,Deg_vs_Res_Mean,Restored_SD,Degraded_SD,Deg_vs_Res_SD,Restored_SS,Degraded_SS,yi,vi
SB150,NMDS,19,Grassland,Pasture,Active,0.09741198,0.14735265,0.5220346,0.030377446,0.063203293,0.03423642,3,3,0.757436814,0.028794003
SB150,NMDS,16,Grassland,Pasture,Active,0.10715472,0.14735265,0.6062483,0.059297035,0.063203293,0.08864986,3,3,0.867959844,0.045778726
SB150,NMDS,14,Grassland,Pasture,Active,0.14652217,0.14735265,0.8137412,0.018800507,0.063203293,0.08477819,3,3,1.018488485,0.020400487
SB078,PCoA,1,Forest,Erosion,Active,0.11915,0.1474618,0.7172464,0.05633937,0.09322033,0.12731079,3,3,0.989625768,0.066138126
SB078,PCoA,16,Forest,Erosion,Active,0.1262467,0.1474618,0.7825742,0.06010733,0.09322033,0.08732009,3,3,1.050525071,0.058890784
SB078,PCoA,11,Forest,Erosion,Active,0.1719327,0.1474618,0.9000621,0.0812382,0.09322033,0.12611447,3,3,1.036036745,0.056504273
SB078,PCoA,6,Forest,Erosion,Active,0.216257,0.1474618,0.9586299,0.13614161,0.09322033,0.12313252,3,3,0.969124036,0.074096982
SB091,PCoA,4,Grassland,Pasture,Active,0.2168578,0.1493081,0.4314633,0.12021201,0.07740206,0.1466882,8,8,0.164095945,0.033506182
SB162,NMDS,5,Grassland,Agriculture,Passive,0.01385756,0.1554436,0.2620805,0.000775996,0.10375486,0.097738512,3,3,0.436972568,0.171558488
SB162,NMDS,20,Grassland,Agriculture,Passive,0.02000346,0.1554436,0.2383074,0.005690578,0.10375486,0.105411434,3,3,0.306224092,0.182144892
SB162,NMDS,15,Grassland,Agriculture,Passive,0.02437362,0.1554436,0.3857225,0.0075193,0.10375486,0.107173418,3,3,0.763177308,0.137293639
SB162,NMDS,40,Grassland,Agriculture,Passive,0.04423607,0.1554436,0.68416,0.015899231,0.10375486,0.105229037,3,3,1.231477376,0.099995889
SB095,PCoA,12,Forest,Monoculture plantation,Active,0.1969654,0.1599725,0.4413868,0.1340155,0.1096674,0.07429871,7,3,0.212359771,0.055652849
SB095,PCoA,12,Forest,Monoculture plantation,Active,0.2090452,0.1599725,0.4961672,0.1359602,0.1096674,0.08219818,8,3,0.296068356,0.04983911
SB173,PCoA,47,Forest,Pasture,Passive,0.2259549,0.1649814,0.5027841,0.128603,0.1500874,0.1517021,12,12,0.251616222,0.028887167
SB173,PCoA,23,Forest,Pasture,Passive,0.2664116,0.1649814,0.2844064,0.1567213,0.1500874,0.1768542,12,12,-0.416615306,0.053308711
SB173,PCoA,68,Forest,Pasture,Passive,0.3347655,0.1649814,0.634531,0.2517004,0.1500874,0.1060659,12,12,0.238784373,0.030983881
SB076,NMDS,6,Forest,Agriculture,Passive,0.03580439,0.1673083,0.2677274,0.02197102,0.12581562,0.11916815,3,3,0.27620835,0.197842287
SB076,NMDS,40,Forest,Agriculture,Passive,0.14495774,0.1673083,0.2698083,0.05397851,0.12581562,0.11652252,3,3,-0.14614381,0.126243865
SB076,NMDS,20,Forest,Agriculture,Passive,0.1617872,0.1673083,0.3651248,0.10087295,0.12581562,0.14381428,3,3,0.103891231,0.131749973
SB076,NMDS,3,Forest,Agriculture,Passive,0.16302506,0.1673083,0.3673857,0.07951644,0.12581562,0.13358748,3,3,0.106309923,0.111742174
SB166,NMDS,40,Forest,Deforestation,Active,0.1080882,0.1826799,0.5492805,0.04124619,0.08555949,0.1121473,5,5,0.636083198,0.029678618
SB166,NMDS,40,Forest,Deforestation,Passive,0.2813809,0.1826799,0.3542202,0.17195277,0.08555949,0.1780327,5,5,-0.270096824,0.084780707
SB028,PCoA,30,Forest,Agriculture,Active,0.05876116,0.1871757,0.6261029,0.08085721,0.01976585,0.0449131,3,3,0.934439898,0.039898758
SB100,NMDS,1.5,Forest,Agriculture,Active,0.05506797,0.19491735,0.14046381,0.04159106,0.12673047,0.0884388,3,3,-0.576452321,0.227033804
SB100,NMDS,15,Forest,Agriculture,Active,0.06080478,0.19491735,0.11820138,0.030989,0.12673047,0.0984127,3,3,-0.771701645,0.317827118
SB100,NMDS,15,Forest,Agriculture,Active,0.12228978,0.19491735,0.45963217,0.01736141,0.12673047,0.05219382,3,3,0.370871572,0.058502135
SB100,NMDS,1.5,Forest,Agriculture,Active,0.12332821,0.19491735,0.12558028,0.05458172,0.12673047,0.08537902,3,3,-0.929878051,0.216740808
SB186,PCA,4,Grassland,Pasture,Active,0.2039638,0.2017281,0.2013496,0.1156204,0.1921757,0.1553114,8,15,-0.700551304,0.099485143
SB080,NMDS,13,Forest,Monoculture plantation,Active,0.3532831,0.2034693,0.4837381,0.15025595,0.07314122,0.1754741,4,4,-0.140576972,0.055419486
SB131,PCoA,9,Grassland,Pasture,Passive,0.4351419,0.2041315,0.5313084,0.3538579,0.1291986,0.3079497,3,3,-0.184989575,0.227728602
SB152,NMDS,2,Grassland,Agriculture,Passive,0.2475405,0.2048806,0.2529226,0.1345507,0.1132914,0.1215667,15,15,-0.58152987,0.02547839
SB152,NMDS,10,Grassland,Agriculture,Passive,0.3175238,0.2048806,0.5282855,0.1658337,0.1132914,0.2136471,15,15,0.011194857,0.020756867
SB152,NMDS,20,Grassland,Agriculture,Passive,0.4261561,0.2048806,0.5957834,0.2269553,0.1132914,0.2861351,15,15,-0.057486844,0.026149312
SB146,PCoA,25,Forest,Erosion,Active,0.3893124,0.2071272,0.4876917,0.2198317,0.1277657,0.19033208,3,3,-0.201294535,0.11134853
